Feature.ID	B13_FFPE_T1gIII_RPKM_fwd_RNA.Seq	B13_FF_T1gIII_RPKM_fwd_RNA.Seq	B11_FFPE_TagII_RPKM_fwd_RNA.Seq	B11_FF_TagII_RPKM_fwd_RNA.Seq	B11_FFPE_T2gII_RPKM_fwd_RNA.Seq	B11_FF_T2gII_RPKM_fwd_RNA.Seq	B12_FFPE_TagII_RPKM_fwd_RNA.Seq	B12_FF_TagII_RPKM_fwd_RNA.Seq	B12_FFPE_T1gII_RPKM_fwd_RNA.Seq	B12_FF_T1gII_RPKM_fwd_RNA.Seq	B14_FFPE_TagII_RPKM_fwd_RNA.Seq	B14_FF_TagII_RPKM_fwd_RNA.Seq	B14_FFPE_T1gIII_RPKM_fwd_RNA.Seq	B14_FF_T1gIII_RPKM_fwd_RNA.Seq	B15_FF_T2grIII_RPKM_fwd_RNA.Seq	B15_FFPE_T2grIII_RPKM_fwd_RNA.Seq
RPL26	23.345	291.742	18.358	35.186	21.684	298.471	141.672	483.226	23.722	532.726	78.666	263.85	91.511	693.993	276.392	85.614
RPL26L1	0.607	8.42	0	1.475	0.73	8.125	2.012	10.711	0.671	10.571	2.039	6.633	0.938	6.621	17.332	1.353
RPL27	6.535	168.932	4.625	20.685	9.429	244.7	94.747	631.682	16.831	706.695	28.881	220.892	26.226	479.022	432.129	51.579
RPL27A	2.387	21.353	0.939	3.446	2.87	30.194	16.555	49.585	2.732	42.545	6.083	13.863	4.094	31.438	20.622	5.036
RPL28	1.289	30.441	0.638	2.682	1.634	12.084	7.035	20.024	1.836	27.022	3.036	9.657	2.857	17.838	21.323	4.103
RPL29	7.758	265.287	2.196	31.809	5.97	149.815	39.909	340.425	10.275	330.704	6.77	83.273	14.848	242.06	198.236	20.541
RPL3	17.891	304.258	6.844	27.523	17.442	187.711	136.502	534.578	24.729	435.233	55.317	238.834	47.766	484.729	250.614	51.398
RPL30	31.531	241.874	12.857	16.697	31.517	291.024	171.134	589.745	43.826	628.299	62.063	196.004	70.9	459.273	229.901	55.006
RPL31	9.756	163.185	4.638	22.548	6.77	169.831	72.018	378.044	11.572	356.543	23.827	119.338	25.286	291.858	377.607	49.123
RPL32	8.005	109.964	5.063	11.955	8.183	88.988	42.545	155.666	9.988	181.078	15.38	72.172	16.294	152.645	164.794	30.348
RPL34	14.873	118.658	5.263	9.973	11.922	162.528	89.598	356.654	11.96	285.709	34.588	114.463	27.22	288.373	110.884	28.941
RPL35	10.314	211.422	4.977	26.938	12.402	107.582	35.082	162.693	17.077	200.725	19.67	86.985	17.729	144.976	197.267	42.075
RPL35A	7.575	106.796	5.256	9.496	9.287	160.349	37.683	262.421	6.394	256.214	13.086	114.505	16.162	279.966	240.375	20.703
RPL36	10.355	154.499	3.369	12.714	8.014	73.048	52.044	163.839	21.281	271.243	18.576	66.108	23.698	150.707	150.937	33.408
RPL36A	0.148	1.027	0.175	0.18	0.059	0.953	0.144	0.871	0.082	1.549	0.124	0.371	0.229	1.04	0.788	0.754
RPL36A-HNRNPH2	1.054	4.113	0.383	1.028	1.43	3.833	5.089	5.622	1.432	8.194	1.497	4.595	2.253	6.733	7.414	1.136
RPL36AL	0	82.104	2.432	19.355	4.297	78.02	29.088	94.945	5.462	101.633	11.418	56.553	9.865	89.87	86.323	13.648
RPL37	12.912	173.763	8.912	7.856	12.993	126.186	66.009	154.283	12.281	160.379	29.738	107.442	30.743	204.756	97.805	27.978
RPL37A	19.512	274.432	1.817	8.588	18.522	195.79	86.851	361.967	22.67	433.482	40.501	166.541	52.308	392.102	137.342	30.068
RPL38	14.854	310.215	16.224	27.901	20.727	223.876	134.008	559.86	38.256	901.17	40.163	260.872	46.279	492.425	478.113	81.94
RPL39	2.151	119.265	5.709	12.622	15.089	385.472	97.674	323.431	21.964	601.73	28.431	155.024	34.449	377.009	236.009	40.05
RPL39L	0	0.519	0	0.331	0	2.059	0	0.689	0	1.593	0.515	2.104	0.947	4.905	0.237	0
RPL3L	0	0	0	0	0	0	0	0.012	0	0	0	0	0	0.046	0.092	0
RPL4	17.061	318.735	10.416	38.112	14.516	256.887	153.109	515.693	26.43	440.194	74.47	248.781	58.097	560.985	249.051	56.202
RPL41	21.788	137.569	7.405	10.559	10.657	246.543	90.382	544.608	22.418	793.787	29.128	177.53	30.209	553.427	396.608	39.723
RPL5	14.642	228.329	5.922	22.91	14.085	214.927	108.343	465.471	21.472	396.312	46.162	199.279	46.815	458.436	231.679	47.664
RPL6	12.405	306.778	6.754	31.766	19.582	285.198	99.818	399.684	19.801	485.706	46.762	222.855	45.807	450.163	356.005	62.073
RPL7	21.386	558.671	15.5	56.717	31.807	675.666	194.911	889.054	43.797	1024.719	70.915	348.147	50.11	734.297	452.372	79.211
RPL7A	8.239	136.388	5.145	15.884	4.662	115.432	43.725	279.953	10.698	267.466	14.436	90.813	19.449	185.735	213.537	32.543
RPL7L1	1.184	18.755	0.2	3.696	1.898	20.369	5.076	15.38	2.24	16.54	2.129	10.71	1.566	20.024	17.785	2.907
RPL8	9.29	113.805	8.349	14.678	14.716	150.291	72.843	264.131	13.428	258.826	22.087	68.298	21.679	185.849	193.541	31.958
RPL9	4.568	120.938	0	5.383	1.349	95.865	24.175	148.1	3.715	133.876	11.499	58.546	8.164	141.475	120.026	12.548
RPLP0	14.161	244.379	9.258	12.979	12.036	366.551	76.07	634.727	16.949	875.764	34.074	173.938	29.232	565.257	322.797	31.167
RPLP1	20.218	759.514	13.912	80.902	45.244	579.661	118.359	807.3	33.474	783.711	53.37	430.024	45.51	779.242	532.973	53.083
RPLP2	39.807	494.063	14.964	31.862	59.612	358.306	181.909	605.775	63.251	685.931	66.072	189.195	54.016	340.061	366.071	77.682
RPN1	1.935	27.686	0.978	4.076	3.175	62.835	10.053	63.515	3.05	77.987	5.257	29.14	4.266	53.682	85.826	9.03
RPN2	3.375	45.066	2.488	7.648	6.899	100.849	23.544	83.514	6.053	165.534	8.567	51.084	7.684	67.873	66.274	6.659
RPP14	0.431	2.5	0.073	0.898	0.099	3.871	1.705	4.479	0.136	3.409	0.879	2.937	0.523	4.098	2.512	0.588
RPP21	0	1.49	0	0.198	0.589	1.37	0.573	2.89	0	3.34	0	1.59	1.418	2.527	1.703	0.468
RPP25	0	1.062	0	0.399	0.148	0.775	0.18	0.719	0	0.756	0.078	0.67	0.071	0.408	2.901	0.353
RPP25L	0.196	1.786	0	0.95	0.627	2.608	0.763	6.732	0.432	8.437	0	1.018	0.302	4.193	3.932	0.249
RPP30	0.223	2.126	0.044	0.442	0.119	2.186	0.986	2.731	0.329	2.77	0.375	1.703	0.172	2.476	2.066	0.142
RPP38	0.52	3.472	0	1.368	0.417	3.792	0.811	4.135	0	5.773	0.218	2.851	0.602	3.764	5.926	0.331
RPP40	0.186	1.824	0	0.452	0.149	4.353	0.508	3.779	0	3.673	0.312	2.163	0.287	4.125	6.713	0.711
RPRD1A	0.606	5.005	0.417	2.235	0.689	13.545	5.16	15.399	1.339	10.735	1.738	10.84	1.638	14.172	9.965	1.319
RPRD1B	0.278	6.628	0.657	1.788	1.697	20.833	4.276	6.701	0.922	7.551	1.262	7.197	1.333	8.587	7.263	1.418
RPRD2	0.662	15.608	0.423	1.964	0.287	4.447	5.235	8.737	1.218	5.19	2.014	8.459	2.022	10.444	14.396	3.055
RPRM	0	1.933	0	0.356	0	0.082	0.229	0.329	0	0.19	0	0.228	0	0.225	0.715	0.093
RPRML	0	0	0	0	0	0.018	0	0	0	0	0	0	0	0.018	0.012	0
RPS10	3.431	68.762	1.445	5.09	1.572	101.6	28.749	180.34	5.68	175.319	6.992	53.264	10.591	154.562	96.853	11.699
RPS10-NUDT3	1.194	11.934	0.201	2.139	1.299	14.887	8.142	18.721	1.6	18.205	3.22	11.811	2.632	21.411	14.876	4.016
RPS11	19.029	450.516	6.301	33.231	14.183	278.827	126.205	599.59	29.11	902.542	47.902	320.561	49.209	747.744	364.734	59.071
RPS12	38.587	192.189	15.172	23.363	26.807	327.605	170.773	610.741	28.867	553.536	61.161	157.18	68.493	439.976	113.787	41.207
RPS13	3.261	36.797	3.847	11.657	2.614	116.006	44.329	241.331	4.5	189.155	6.5	44.353	7.551	111.002	95.425	14.531
RPS14	8.231	36.638	3.56	7.254	7.258	43.551	29.941	142.953	6.36	119.789	16.807	49.426	12.07	125.516	91.72	16.416
RPS15	10.153	225.166	9.581	12.819	11.395	117.349	50.81	217.324	11.655	315.073	23.174	85.013	24.448	168.443	167.317	33.864
RPS15A	16.284	239.12	9.838	10.928	11.461	265.936	134.511	588.544	26.302	502.961	42.325	195.706	50.268	539.981	275.21	49.547
RPS16	5.117	59.559	3.018	3.846	2.051	43.438	21.653	96.643	4.438	103.667	9.508	31.003	5.078	99.441	102.353	11.167
RPS17	9.783	176.624	5.77	11.395	19.604	173.446	71.746	269.182	10.798	264.982	39.178	140.977	30.885	277.094	152.449	38.774
RPS17L	16.897	169.709	4.196	13.195	10.337	172.741	63.427	272.18	12.761	269.775	35.446	138.641	29.512	272.899	151.603	31.982
RPS18	29.842	286.909	16.897	28.122	25.197	356.286	135.069	678.565	32.939	657.504	38.396	202.259	58.652	557.678	367.482	61.035
RPS19	7.366	176.293	5.693	11.032	5.701	110.187	37.025	170.283	12.336	268.442	19.183	116.682	20.976	262.877	266.971	40.905
RPS19BP1	0.698	13.134	0.549	1.883	1.678	14.203	4.987	15.222	1.284	18.821	0.781	8.893	1.616	10.175	18.64	3.998
RPS2	10.989	240.692	2.7	15.687	7.708	137.611	68.703	276.946	11.119	251.037	27.087	135.425	23.499	287.246	267.312	32.787
RPS20	7.836	97.574	5.392	13.608	8.768	158.979	57.709	352.943	10.271	367.567	19.727	132.133	13.229	212.779	65.81	14.236
RPS21	14.704	49.339	8.351	6.905	14.406	92.433	76.197	232.292	26.449	242.713	26.505	73.419	28.58	202.402	162.595	26.344
RPS23	1.952	26.245	0.461	3.915	1.617	28.216	14.558	97.592	2.945	100.359	6.498	35.551	4.219	91.422	29.18	4.68
RPS24	5.902	118.051	2.492	4.52	4.263	48.432	47.278	125.781	12.465	166.13	20.236	61.102	17.093	111.78	76.457	24.346
RPS25	12.712	186.558	7.756	17.382	13.703	180.743	134.445	607.802	20.32	534.434	28.689	244.495	50.066	551.743	257.648	50.777
RPS26	0.316	12.507	0.746	2.047	1.774	45.565	16.144	89.865	2.094	121.835	1.327	8.366	1.22	26.647	46.143	4.025
RPS27	13.517	400.869	4.348	22.707	14.776	428.184	167.621	1454.223	18.989	1257.765	37.636	266.602	42.676	919.602	284.31	31.677
RPS27A	5.812	111.294	4.447	7.203	7.429	91.807	34.097	218.98	6.241	245.724	14.235	93.509	15.759	249.313	137.354	19.895
RPS27L	0.398	8.003	0	2.522	1.116	20.991	4.652	25.57	1.537	30.563	2.838	28.93	1.382	32.078	14.025	2.406
RPS28	2.258	3.244	0	1.371	4.525	21.469	1.32	5.855	0	4.179	13.264	44.068	15.249	113.727	82.113	17.967
RPS29	1.301	4.837	0	1.263	0.626	19.591	4.867	33.277	0.861	25.032	1.746	10.172	3.012	21.825	10.716	1.987
RPS3	8.165	76.991	3.056	4.384	4.594	51.807	26.375	98.566	5.806	89.552	12.187	44.359	18.843	154.588	66.827	13.042
RPS3A	3.61	182.925	1.503	10.255	3.064	160.053	47.963	419.226	6.329	399.506	11.138	145.717	13.521	390.893	143.075	15.68
RPS4X	36.996	710.74	12.24	17.83	21.338	351.636	173.199	664.677	23.903	880.468	69.849	428.148	73.469	952.272	427.639	74.376
RPS4Y1	1.202	0.244	0	0.389	0.771	0.359	21.739	114.956	3.184	102.717	1.009	0.222	0.557	0.592	57.391	10.559
RPS4Y2	0	0	0.286	0	0	0	0	0.042	0	0.032	0	0	0	0	0.043	0
RPS5	9.313	125.246	3.776	10.835	6.999	91.66	48.434	214.018	15.098	298.27	21.735	79.406	29.873	222.948	260.247	39.642
RPS6	30.177	471.547	18.412	40.422	31.28	321.538	357.997	1166.595	37.041	515.007	87.098	369.814	161.818	1320.63	565.703	155.48
RPS6KA1	0.191	3.642	0	1.393	0.409	8.063	1.615	5.89	0	5.704	1.07	3.451	0.344	2.424	5.456	0.446
RPS6KA2	0.143	3.565	0.042	0.384	0.143	2.195	1.014	2.464	0.118	1.208	0.807	3.462	0.935	3.122	2.876	0.726
RPS6KA3	0.476	7.924	0.297	1.849	0.628	12.18	4.284	10.454	0.741	13.236	2.347	11.828	2.331	18.141	10.577	1.638
RPS6KA4	0.275	3.091	0.405	0.983	0.22	5.273	1.125	4.344	0.607	4.205	0.981	2.424	0.849	4.282	5.185	0.744
RPS6KA5	0.05	1.906	0.118	0.848	0.2	2.981	0.661	1.376	0.33	1.173	0.335	1.585	0.385	3.859	4.76	0.508
RPS6KA6	0.184	0.933	0.062	0.362	0.063	1.014	0.666	1.445	0.116	1.587	0.331	1.188	0.223	1.823	1.311	0.251
RPS6KB1	0.324	3.756	0.383	1.783	0.39	5.427	3.682	6.798	0.806	6.56	1.463	5.026	1.252	6.575	7.572	1.755
RPS6KB2	0.609	5.272	0.575	1.183	0.488	6.416	1.33	6.771	0.807	7.626	1.125	4.314	0.94	7.917	4.483	0.853
RPS6KC1	0.617	6.454	0.182	2.054	0.371	5.444	5.475	7.837	0.909	5.887	1.425	9.25	2.422	11.679	8.622	1.769
RPS6KL1	0	0.449	0	0.034	0.033	0.128	0.081	0.144	0	0.27	0.139	0.418	0.224	0.577	1.604	0.37
RPS7	10.072	123.577	4.543	15.503	7.836	119.803	49.76	216.765	10.463	286.746	18.892	114.954	19.89	282.914	181.96	33.751
RPS8	29.672	442.389	16.237	37.877	24.766	219.71	200.646	581.297	39.504	568.011	86.503	353.615	83.1	652.237	300.482	74.182
RPS9	6.049	109.305	4.995	9.791	5.577	73.439	28.527	176.385	8.68	178.558	9.645	67.549	9.571	150.246	103.915	19.637
RPSA	8.649	215.407	3.77	14.354	6.029	206.369	55.545	546.973	12.867	570.141	21.615	121.124	19.299	334.495	295.923	20.704
RPTN	0	0	0.499	0.016	0	0.017	0.094	0.031	0	0.007847	0	0.018	0	0.079	0.068	0.038
RPTOR	0.252	1.425	0.037	1.544	0.277	2.518	1.888	3.602	0.451	3.852	0.607	2.948	0.704	2.803	3.852	0.641
RPUSD1	0	0.996	0.124	0.227	0.253	1.03	0.328	0.9	0.116	0.929	0.177	0.614	0	0.812	1.726	0.402
RPUSD2	0	0.833	0	0.538	0.188	0.874	0.503	1.865	0.259	1.858	0.492	1.124	0.272	1.646	1.262	0
RPUSD3	0.176	0.832	0.207	0.853	0	2.474	1.028	2.78	0.388	3.036	0.147	1.821	0.814	2.214	3.354	0.447
RPUSD4	0.172	1.596	0.304	0.51	0.138	2.153	2.008	4.192	0.284	3.4	0.864	2.939	0.53	4.433	2.99	0.546
RQCD1	1.198	19.117	0.283	4.654	1.921	30.464	4.109	16.341	1.058	20.444	2.815	16.094	2.774	28.39	12.947	1.983
RRAD	0.292	0.198	0	0	0	0.3	0	0.543	0	0.019	0	0.256	0	0.211	0.113	0.186
RRAGA	0.131	4.016	0.462	0.88	0.523	8.469	1.577	12.694	0.72	7.239	0.876	4.412	2.015	14.047	10.63	0.914
RRAGB	0.195	4.559	0.231	1.582	0.313	4.399	1.752	5.025	0.216	7.88	1.148	4.719	0.98	4.851	2.782	1.182
RRAGC	0.299	6.168	0.353	0.807	0.48	7.276	2.506	5.804	0.165	6.118	0.627	6.503	0.577	5.45	9.263	1.142
RRAGD	0.088	1.11	0.207	0.059	0.14	1.616	0.563	1.434	0	2.064	0.184	1.309	0.135	0.303	2.483	0.669
RRAS	0.878	1.854	0	0.592	0.703	5.644	2.48	3.186	0.726	3.675	1.105	2.241	0.508	1.785	1.291	1.117
RRAS2	0.549	2.464	0.37	1.501	0.942	10.262	2.871	6.218	0.865	7.51	0.921	2.66	0.605	3.041	4.481	1.247
RRBP1	1.024	28.992	1.275	8.285	4.285	36.03	8.112	18.379	1.883	20.14	3.484	21.505	1.843	11.324	49.689	9.918
RREB1	0.581	9.006	0.6	2.829	0.699	6.266	4.285	7.893	0.989	5.938	1.788	5.669	1.439	5.916	7.009	1.511
RRH	0	0.421	0	0.373	0	0.348	0.701	0.299	0	0.144	0.116	0.31	0.107	0.29	0.115	0.264
RRM1	1.081	16.45	0.239	2.06	0.975	27.105	2.818	13.675	0.821	22.538	1.304	7.359	0.991	18.449	19.668	1.721
RRM2	0.565	7.983	0.296	0.745	0.805	9.301	0.93	2.909	0.416	12.779	1.107	6.402	2.036	18.031	14.853	1.359
RRM2B	0.498	2.019	0.342	0.884	0.565	12.416	2.974	9.166	0.595	7.093	1.218	4.004	0.256	5.024	8.993	0.898
RRN3	0.461	10.198	0.407	3.65	0.969	11.472	5.564	15.142	1.398	11.304	3.72	12.977	3.11	18.426	17.38	2.675
RRNAD1	0.095	2.378	0.112	1.051	0.229	1.639	1.259	4.001	0.525	3.049	0.479	2.057	0.293	2.606	1.215	0.242
RRP1	0.119	12.951	0.422	2.318	1.052	6.697	2.186	6.519	0.79	8.586	1.702	6.315	1.382	7.245	9.69	2.659
RRP12	0.146	3.591	0.172	0.578	0.234	1.435	1.348	2.329	0.161	2.879	0.491	2.111	0.526	3.343	4.796	0.527
RRP15	0.25	2.608	0.098	0.606	0.133	2.866	2.477	3.689	0.459	3.261	0.908	3.345	0.664	5.818	1.765	0.406
RRP1B	0.085	5.962	0.25	1.132	0.238	5.923	3.024	5.588	0.749	7.834	0.854	5.645	1.014	7.783	11.722	1.403
RRP36	0	18.242	0.219	5.07	1.342	23.587	3.481	14.217	0.616	15.706	3.279	12.28	2.872	17.842	16.048	0.829
RRP7A	0.237	2.833	0.466	1.653	0.761	6.618	2.018	4.979	0.698	5.591	1.161	5.061	1.648	7.834	6.206	1.208
RRP8	0.123	2.831	0.145	1.894	0.296	4.029	1.776	3.577	0.544	4.014	0.723	2.462	0.38	2.422	2.643	0.392
RRP9	0.14	2.646	0.165	0.264	0.112	1.98	0.599	2.827	0	2.904	0.586	1.686	0.324	3.268	3.348	0.89
RRS1	0.885	5	0.895	1.603	0.811	4.63	3.597	4.349	0.698	3.858	0.955	2.453	2.732	4.842	5.665	1.931
RS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009938	0.017	0
RSAD1	0.518	2.83	0.305	1.187	0.346	3.105	3.969	7.332	1.143	8.427	1.593	5.074	2.264	6.069	5.971	1.758
RSAD2	0.553	0.851	0.145	0.166	0.049	2.415	0.263	2.564	0.068	0.175	0.309	2.431	0.379	1.01	13.673	1.602
RSBN1	0.262	4.722	0.232	1.015	0.236	4.466	2.881	5.394	0.614	4.137	1.482	4.701	0.884	6.828	3.795	0.687
RSBN1L	0.67	7.653	0.395	1.915	0.966	9.151	4.594	10.148	0.813	7.114	2.136	8.886	1.137	11.198	7.353	0.938
RSC1A1	0.116	3.618	0.412	2.353	0	3.589	3.808	7.209	0.899	6.163	0.683	6.064	1.257	10.802	7.723	1.481
RSF1	0.504	10.111	0.842	4.612	0.976	12.11	8.579	10.914	3.338	7.479	3.701	12.286	4.539	18.636	11.093	2.861
RSG1	0	0.14	0	0.112	0	0.67	0.216	1.04	0	0.826	0	0.377	0.107	0.443	0.271	0
RSL1D1	0.966	23.559	0.446	2.469	0.841	12.838	6.234	17.141	1.993	14.087	2.642	11.211	3.629	21.205	20.676	4.088
RSL24D1	1.318	11.087	0.173	2.607	0.704	26.119	8.16	32.041	0.97	21.123	2.703	14.996	2.938	29.398	20.738	3.634
RSPH1	0	0.373	0	0.043	0	0.059	0.43	0.177	0	0.061	0.265	0.361	0.122	0.22	1.041	0.301
RSPH10B	0	0.023	0	0.056	0	0.026	0	0	0	0.018	0	0.064	0.054	0.129	0.177	0.044
RSPH10B2	0	0	0	0.019	0	0.026	0	0	0	0.027	0	0.071	0	0.161	0.095	0.044
RSPH3	0.495	7.267	0.234	2.378	0.318	6.168	3.282	6.276	0.437	5.712	1.081	4.948	1.07	4.627	2.132	0.631
RSPH4A	0	0.103	0	0.061	0	0.156	0.089	0.105	0	0.059	0	0.085	0	0.124	0.108	0
RSPH6A	0	0	0	0	0	0.016	0	0.007504	0	0.023	0	0.042	0	0.032	0.057	0
RSPH9	0	0	0	0	0	0.057	0.079	0.07	0	0.238	0	0.069	0	0.076	0.097	0
RSPO1	0	0.024	0	0	0	0.078	0	0.091	0	0.027	0.176	0.048	0.108	0.091	0.216	0.044
RSPO2	0	0	0	0	0	0.057	0	0.018	0	0	0	0.013	0	0.029	0.041	0.087
RSPO3	0	0	0	0	0	0.488	0	0.087	0	0	0	0.039	0	0.155	0.15	0.128
RSPO4	0	0.081	0	0	0	0.007417	0.217	0.014	0	0	0	0.043	0	0.03	0.26	0.051
RSPRY1	0.208	6.474	0.368	3.145	0.167	7.499	3.286	7.611	0.574	7.812	1.31	7.284	2.008	8.737	11.321	2.385
RSRC1	1.056	17.311	0.467	2.955	0.952	13.913	2.212	7.449	0.583	6.547	1.993	7.266	1.222	11.502	12.497	2.604
RSRC2	1.377	29.515	1.733	10.798	2.134	26.981	13.525	23.401	4.155	21.365	5.855	24.294	7.581	29.018	25.976	7.012
RSU1	0.517	13.164	0.271	2.308	0.598	14.4	3.492	12.614	0.951	17.325	1.542	9.022	1.064	8.985	17.571	2.632
RTBDN	0	0.031	0	0	0.073	0	0.036	0.007882	0	0	0	0.022	0	0.03	0.152	0
RTCA	0.658	7.171	0.291	2.772	0.593	11.273	4.871	13.097	0.817	12.855	1.518	8.605	1.777	11.877	7.399	1.361
RTDR1	0	0	0	0	0	0	0	0.03	0	0	0	0.017	0	0.024	0.01	0
RTEL1	0.172	3.452	0.152	1.493	0.241	2.839	0.936	2.203	0.331	2.824	0.612	2.898	0.795	2.538	2.685	0.546
RTF1	0.472	10.062	0.507	2.364	0.998	10.297	6.127	9.489	1.185	9.343	3.208	9.732	2.486	12.929	8.558	2.406
RTKN	0	3.531	0	0.245	0.121	1.778	0.472	0.543	0	0.737	0.762	1.774	0.818	3.515	2.439	0.578
RTKN2	0.292	2.733	0.077	0.131	0.156	1.874	0.456	0.379	0.179	1.645	0.3	1.881	0.601	3.224	2.534	0.351
RTL1	0	0	0	0.014	0	0.024	0	0.004445	0	0	0	0	0	0.019	0.043	0
RTN1	0	0.139	0.069	0.016	0	0.372	0	0.162	0	0.023	0.197	0.379	0	0.093	0.481	0.075
RTN2	0.094	0.446	0	0	0.076	0.887	0.551	1.198	0.416	10.049	0	0.665	0.364	2.97	2.51	0.18
RTN3	0.823	9.172	0.307	2.432	0.66	14.522	2.635	9.44	0.478	10.603	1.746	7.156	2.04	15.614	23.069	3.09
RTN4	1.906	22.485	1.222	4.774	1.894	30.41	12.404	31.642	3.614	45.097	7.407	29.099	5.597	47.704	46.153	8.467
RTN4IP1	0	1.023	0	0.618	0	1.99	0.606	1.909	0.181	1.572	0.343	1.679	0.316	2.156	2.495	0.365
RTN4R	0	0.456	0	0.03	0	0.189	0	0.039	0	0.365	0.094	0.191	0	0.188	0.628	0.572
RTN4RL1	0	0.138	0	0.257	0	0.273	0	0.018	0	0.018	0	0.009945	0	0.035	1.163	0.39
RTN4RL2	0	0	0	0	0	0.016	0.133	0.089	0	0.022	0	0.05	0	0.007937	0.294	0
RTP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.036	0.046	0
RTP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.022	0.009523	0
RTP4	0	1.654	0.251	2.008	0	4.282	1.492	7.022	0.47	3.121	0.892	3.082	0	1.473	6.194	0.677
RTTN	0.122	1.336	0.036	1.033	0.219	2.923	0.486	1.282	0.134	1.129	0.357	2.287	0.375	2.551	1.796	0.193
RUFY1	0.797	17.491	0.427	2.365	0.465	8.443	4.265	11.249	0.88	9.74	3.344	12.747	1.678	8.485	12.887	2.122
RUFY2	0.319	6.145	0.209	1.386	0.483	3.465	3.107	5.467	0.782	5.812	0.773	5.305	1.203	5.467	5.622	1.286
RUFY3	0.553	9.125	0.377	3.084	0.769	7.505	4.41	5.091	1.284	4.265	1.733	6.366	1.437	5.08	4.31	1.87
RUFY4	0	0.158	0	0.232	0.125	0.612	0.213	0.284	0	0	0.066	0.087	0	0.044	0.302	0
RUNDC1	0.169	3.009	0.199	2.143	0.587	3.492	3.14	6.749	0.808	6.818	1.135	3.466	0.957	4.022	5.833	1.434
RUNDC3A	0.089	0.06	0	0.024	0	0.008262	0	0.031	0	0.15	0.074	0.181	0	0.074	0.664	0.169
RUNDC3B	0	0.071	0.062	0.043	0.042	0.284	0.061	0.382	0	0.034	0.088	0.253	0	0.543	0.5	0.134
RUNX1	0.811	8.121	0.733	3.725	0.888	5.964	6.582	8.94	1.581	7.867	2.335	8.526	2.273	8.331	6.551	2.373
RUNX1T1	0	0.219	0	0.058	0.038	0.583	0.14	0.209	0	0.075	0.06	0.288	0.056	0.28	0.383	0.397
RUNX2	0.108	1.576	0.17	0.214	0.203	1.738	0.324	0.653	0.04	0.887	0.243	1.48	1.004	2.425	0.81	0.759
RUNX3	0.136	0.719	0	0.134	0.145	2.214	0.035	0.223	0	0.012	0.076	1.311	0.07	0.093	0.403	0.115
RUSC1	0.156	1.71	0.185	0.366	0.042	1.793	1.626	3.047	0.173	3.25	0.525	1.478	0.563	2.29	1.596	0.398
RUSC1-AS1	0.165	0.223	0	1.069	0.265	0.354	0.579	1.27	0.182	1.051	0.277	0.61	0.51	0.668	0.461	0.21
RUSC2	0.186	0.629	0.175	0.241	0.06	0.932	0.246	0.665	0.123	0.908	0.281	0.801	0.287	0.78	0.608	0.45
RUVBL1	0.854	20.247	0.576	1.876	0.587	18.191	2.9	13.147	1.346	15.729	2.149	10.382	1.883	18.2	38.086	4.115
RUVBL2	0.29	13.719	0.342	2.463	0.697	13.036	2.259	13.767	0.16	24.429	1.459	9.276	1.007	18.054	24.13	2.029
RWDD1	0.494	14.347	0.97	2.618	1.451	14.964	5.898	17.573	1.453	13.543	4.003	10.584	3.047	14.726	10.648	4.083
RWDD2A	0	1.649	0	1.028	0	4.872	0.772	2.806	0.168	1.959	0.256	1.668	0.235	1.629	0.933	0.194
RWDD2B	0.379	3.335	0.149	0.921	0.913	7.156	3.352	5.652	0.698	6.094	1.486	5.506	1.952	8.513	6.992	1.771
RWDD3	0	4.891	0.203	1.905	0	6.069	5.572	9.588	0.951	9.037	2.891	6.903	0.798	7.022	2.744	0.987
RWDD4	0.416	7.676	0	1.099	0.333	6.527	2.528	8.533	0.367	7.485	0.907	6.52	1.22	9.386	7.381	1.165
RXFP1	0.053	0.144	0	0.014	0	0.144	0	0.055	0	0.014	0.045	0.078	0	0.077	0.063	0
RXFP2	0	0	0	0	0	0	0	0	0	0	0.129	0.318	0	0.068	0.059	0
RXFP3	0	0	0	0	0	0.007936	0	0	0	0	0	0.004141	0	0.012	0.005061	0
RXFP4	0	0	0	0	0	0.018	0	0.081	0	0	0	0.009152	0	0.035	0.022	0
RXRA	0.703	12.872	0.737	2.834	0.72	6.694	5.86	15.116	2.371	16.488	2.458	7.723	2.261	9.565	12.586	2.212
RXRB	0.294	3.482	0.434	2.025	0.767	4.739	1.778	5.367	0.487	5.045	1.05	3.317	0.568	4.101	3.884	0.89
RXRG	0	0.03	0	0	0	0	0	0.007674	0	0	0	0.013	0	0.05	0.095	0
RYBP	0.339	5.342	0.172	1.765	0.311	7.161	3.457	7.265	0.749	6.118	1.302	7.103	0.973	11.723	11.075	1.728
RYK	1.394	15.3	1.125	3.997	0.882	27.738	9.406	28.765	1.295	24.995	3.878	15.383	1.925	29.877	27.961	4.155
RYR1	0.014	0.256	0.017	0.023	0.034	0.057	0.005461	0.035	0	0.042	0.035	0.11	0.043	0.072	0.29	0.107
RYR2	0.026	1.63	0.155	0.132	0.042	0.623	0.149	0.273	0.015	0.024	0.1	0.363	0.051	0.194	0.666	0.252
